subjCode	seed	angleAssign	labelAssign	condition	room	date_time	dateStr	expVersion	block	trialType	trial	target	angle	left	right	freq	blit	clate	gled	gorm	grah	hoon	noobda	pim	nearbyLabel1	nearbyAngle1	nearbyFreq1	nearbyLabel2	nearbyAngle2	nearbyFreq2	updateScore	feedback	trialType	trialNumber	response	label	isRight	rt	score
301	1	1	1	test	273A1	2017-11-16 10:06	2017_Nov_16_1008	wc2_3_v1	init	name	5	grah	195	NA	NA	lf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	name	21	NA	minafd	0	7101.11714475	0
301	1	1	1	test	273A1	2017-11-16 10:06	2017_Nov_16_1008	wc2_3_v1	init	name	8	frabda	330	NA	NA	lf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	name	22	NA	frabda	1	7016.64971279	6
301	1	1	1	test	273A1	2017-11-16 10:06	2017_Nov_16_1008	wc2_3_v1	init	name	7	dak	285	NA	NA	hf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	name	23	NA	dak	1	2216.63160182	16
301	1	1	1	test	273A1	2017-11-16 10:06	2017_Nov_16_1008	wc2_3_v1	init	name	6	mog	240	NA	NA	hf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	name	24	NA	forp	0	5483.43178656	0
301	1	1	1	test	273A1	2017-11-16 10:06	2017_Nov_16_1008	wc2_3_v1	learn	pairLearn	5	gorm	105	mog	gorm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pairLearn	41	NA	gorm	1	3555.59945788	0
301	1	1	1	test	273A1	2017-11-16 10:06	2017_Nov_16_1008	wc2_3_v1	learn	pairLearn	6	gorm	105	dak	gorm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pairLearn	42	NA	gorm	1	2079.84551346	1
301	1	1	1	test	273A1	2017-11-16 10:06	2017_Nov_16_1008	wc2_3_v1	learn	pairLearn	16	minada	60	gorm	minada	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pairLearn	43	NA	minada	1	4363.03159458	2
301	1	1	1	test	273A1	2017-11-16 10:06	2017_Nov_16_1008	wc2_3_v1	learn	pairLearn	8	mog	240	mog	dak	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pairLearn	44	NA	mog	1	3413.67951438	3
301	1	1	1	test	273A1	2017-11-16 10:06	2017_Nov_16_1008	wc2_3_v1	learn	pairLearn	13	mog	240	mog	gorm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pairLearn	45	NA	mog	1	3731.66823125	4
301	1	1	1	test	273A1	2017-11-16 10:06	2017_Nov_16_1008	wc2_3_v1	learn	pairLearn	7	frabda	330	frabda	dak	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pairLearn	46	NA	frabda	1	4280.43804389	5
301	1	1	1	test	273A1	2017-11-16 10:06	2017_Nov_16_1008	wc2_3_v1	learn	pairLearn	2	dak	285	minada	dak	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pairLearn	47	NA	dak	1	2031.20247758	6
301	1	1	1	test	273A1	2017-11-16 10:06	2017_Nov_16_1008	wc2_3_v1	learn	pairLearn	20	dak	285	dak	frabda	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pairLearn	48	NA	dak	1	1945.93967237	7
301	1	1	1	test	273A1	2017-11-16 10:06	2017_Nov_16_1008	wc2_3_v1	learn	pairLearn	4	gorm	105	sarp	gorm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pairLearn	49	NA	gorm	1	2696.63075665	8
301	1	1	1	test	273A1	2017-11-16 10:06	2017_Nov_16_1008	wc2_3_v1	learn	pairLearn	3	clate	15	minada	clate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pairLearn	50	NA	clate	1	2062.65216984	9
301	1	1	1	test	273A1	2017-11-16 10:06	2017_Nov_16_1008	wc2_3_v1	learn	pairLearn	18	minada	60	clate	minada	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pairLearn	51	NA	minada	1	4012.9267019	10
301	1	1	1	test	273A1	2017-11-16 10:06	2017_Nov_16_1008	wc2_3_v1	learn	pairLearn	14	grah	195	grah	mog	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pairLearn	52	NA	grah	1	3130.10133085	11
301	1	1	1	test	273A1	2017-11-16 10:06	2017_Nov_16_1008	wc2_3_v1	learn	pairLearn	15	gorm	105	gorm	minada	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pairLearn	53	NA	gorm	1	2479.84038202	12
301	1	1	1	test	273A1	2017-11-16 10:06	2017_Nov_16_1008	wc2_3_v1	learn	pairLearn	19	dak	285	dak	gorm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pairLearn	54	NA	dak	1	1780.73083784	13
301	1	1	1	test	273A1	2017-11-16 10:06	2017_Nov_16_1008	wc2_3_v1	learn	pairLearn	10	minada	60	dak	minada	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pairLearn	55	NA	minada	1	3012.81833796	14
301	1	1	1	test	273A1	2017-11-16 10:06	2017_Nov_16_1008	wc2_3_v1	learn	pairLearn	9	mog	240	minada	mog	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pairLearn	56	NA	mog	1	2679.99402338	15
